TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load(ems)
64.96853,1.9368806,316.15842,11322.539,81.40447,20.928986,6172.048,34.613552,53.040524
64.46982,1.8465031,322.1623,11615.894,81.45003,20.789026,6208.1846,34.511463,53.01412
63.609425,1.8902364,321.25864,11129.187,81.24233,20.535805,6171.9854,34.649372,52.5861
63.907948,1.8454801,327.11932,11321.1455,81.628105,20.612032,6269.6904,34.807816,52.941833
64.05265,1.8451408,320.15985,11015.836,82.48426,20.399529,6210.26,34.65244,52.709465
64.31469,1.8433034,321.79666,11514.597,81.20218,20.891308,6153.414,34.894974,52.805634
63.9684,1.8406583,320.6817,11290.396,81.396324,20.944025,6225.091,34.79098,52.867558
64.416275,1.8552579,318.74545,11297.083,81.18231,20.454239,6257.9697,34.787045,52.93388
64.95934,1.8678195,324.12897,11290.485,81.385345,20.750381,6178.266,34.6581,52.80699
64.95458,1.9249359,322.98407,11244.322,81.27804,20.89016,6129.172,34.898693,52.723885
64.33462,1.846696,316.7683,10722.74,81.49963,20.925524,6270.0596,34.84774,52.07315
63.69696,1.8462708,324.61765,11017.449,81.541176,20.874372,6144.2495,34.978844,52.781902
63.926533,1.8381371,320.54358,11036.267,81.382965,20.851065,6133.0405,34.99012,52.72203
64.95348,1.8384598,329.36047,11264.112,81.78073,20.871664,6249.6865,34.52697,52.354782
65.3262,1.8303499,317.53674,11057.074,81.070305,20.66786,6297.7207,34.81899,52.260605
64.833786,1.842762,320.6215,10788.638,81.37626,20.856699,6344.8223,35.173977,52.10535
64.34155,1.7693129,320.40787,10937.381,81.30272,21.02519,6340.284,34.980415,52.18525
63.72458,1.8387084,325.82373,10844.68,81.258484,21.020884,6276.7617,34.908848,52.199986
63.784904,1.7971294,324.8253,10787.969,81.52513,20.758738,6399.739,35.372982,51.81426
64.750565,1.8476813,320.15897,10877.206,81.05083,20.678785,6261.521,34.84561,51.97657
63.883488,1.8591703,316.68903,11260.188,81.14468,20.760458,6374.862,35.052376,51.81364
63.765522,1.6986281,323.44748,10995.081,81.37761,20.987085,6307.337,35.45441,51.890335
64.79042,1.8406686,320.60733,11153.346,81.45579,20.876171,6345.937,34.931618,52.353928
65.0029,1.8603722,324.08035,11332.611,80.95724,20.738245,6363.0264,35.238758,51.4535
63.92955,1.7588122,321.48816,10871.746,80.91129,20.5157,6328.3403,35.48419,51.341633
65.1174,1.805562,316.51028,11187.067,80.93336,20.707315,6351.616,34.952824,51.43421
64.27555,1.8417425,319.1189,11470.58,81.51653,20.816885,6363.767,35.770782,51.227722
