TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
43.87305,0.85022265,261.25443,8216.971,75.014366,30.836897,9257.697,51.37192,32.282085
43.71601,0.84457207,263.50134,8293.038,75.09097,31.467402,9393.328,51.5565,32.45168
44.120922,0.8419604,263.14667,8234.952,76.32078,32.137444,9483.562,51.631153,32.834015
43.864967,0.834279,265.40118,8211.645,78.9004,31.502348,9538.194,51.50047,31.87616
44.402615,0.8535637,264.40045,8214.047,76.05965,31.521442,9222.988,51.105247,31.915525
43.57705,0.8333265,263.71057,8212.126,77.99044,32.997925,9273.654,51.55609,32.4455
44.578564,0.8621976,263.4015,8288.353,79.04482,33.70543,9414.36,50.91478,32.924637
44.231827,0.8596734,264.90448,8240.217,79.107056,34.20902,9430.943,50.912567,33.104584
44.023636,0.8625737,262.2639,8233.06,78.40784,34.541195,9210.808,50.660492,33.738052
44.197235,0.8928607,264.35464,8331.458,79.80909,34.230106,9275.131,50.972397,33.342037
44.2275,0.86699516,265.4096,8274.472,78.76944,34.978462,9380.957,51.037632,33.33261
44.62934,0.87210864,265.1525,8256.597,78.71985,35.547672,9250.507,51.1216,33.47602
44.779293,0.8487289,265.47644,8236.994,80.18793,35.17663,9367.201,51.31502,33.324276
44.804577,0.8350524,265.41376,8229.948,81.39559,34.89028,9419.61,51.121532,33.25879
44.396828,0.87799054,266.33887,8248.32,79.724174,34.63128,9330.992,51.061275,33.949394
45.340137,0.8374153,265.4726,8301.752,81.04615,35.163906,9553.473,51.09013,33.78861
44.77272,0.8593604,264.74625,8247.269,81.07254,35.710842,9519.281,51.306522,33.75756
44.024364,0.85705596,265.04428,8206.432,79.95184,36.067204,9521.275,51.52212,33.946594
44.23799,0.84720176,266.21652,8250.346,81.20479,36.52038,9394.213,50.73183,34.119686
44.613804,0.8446387,264.7901,8284.509,80.800476,37.076744,9392.427,51.01387,34.18086
44.11717,0.8749523,261.8055,8131.3247,81.68431,36.917343,9484.999,51.030155,33.808746
43.94184,0.86601317,264.13718,8151.982,80.73193,37.34966,9640.317,50.80704,33.66521
44.16201,0.8459261,265.76398,8261.503,81.12245,37.073032,9527.913,51.409996,33.30699
44.12925,0.8483103,264.48422,8199.111,82.123055,38.080547,9541.574,51.388683,33.587612
44.02599,0.8538106,263.26385,8036.9033,81.923325,37.782555,9404.496,50.911533,33.399216
44.115578,0.8381685,262.35602,8230.886,81.88116,37.450924,9559.132,51.163776,33.694557
44.186024,0.81485575,264.67285,8237.025,81.86752,37.977516,9443.205,52.16493,33.51672
43.384014,0.8301222,263.5422,8176.819,83.05634,37.825584,9582.75,51.328896,34.22376
43.28134,0.79330283,264.26535,8162.3174,83.26851,37.80806,9636.401,52.032654,32.47954
43.888264,0.82994497,263.9948,8076.7407,80.57632,38.906315,9668.23,51.41393,32.912144
43.369198,0.7963555,262.8539,8163.332,81.8167,38.28015,9555.109,51.86355,33.138203
43.451744,0.8023272,264.81174,8138.483,80.657814,37.84956,9674.639,51.891216,32.726105
43.190933,0.833048,265.2102,8162.819,81.34939,38.27667,9597.981,52.27379,32.847466
42.80508,0.81564796,263.26462,8117.679,81.26682,38.603928,9644.994,51.86003,32.115204
43.364437,0.78198695,263.0411,8045.0415,81.68894,39.008114,9673.18,51.998333,32.09125
43.269737,0.80834097,263.1567,8025.4546,81.83775,38.805336,9656.088,52.575027,32.43101
43.090813,0.81240475,260.42984,8090.463,81.69574,37.600586,9679.279,52.222916,32.547398
43.30441,0.78564566,262.6525,8026.972,83.186104,39.054943,9683.5625,52.37648,32.394188
43.059402,0.78468424,262.8812,7980.7397,82.56741,40.576103,9755.102,52.351315,31.794407
42.95288,0.74716735,262.94577,8028.5605,82.58892,38.374096,9667.012,51.597622,32.68281
43.060364,0.8046385,265.56125,8116.954,82.356346,39.39681,9749.021,52.136814,32.530594
43.52635,0.7918704,263.71768,8092.412,82.72224,38.573288,9795.433,52.32692,32.170395
43.4168,0.77132714,261.41425,7968.6636,82.77598,37.29053,9667.052,51.74199,33.065456
43.137035,0.81898326,264.26266,8111.7227,83.13628,39.055077,9527.951,51.981895,33.173912
43.22304,0.775802,265.6867,8118.395,83.40499,39.56087,9675.422,51.21586,33.58244
43.442337,0.8027882,262.01044,8062.4546,82.87592,41.22292,9640.055,52.283375,32.478245
43.246758,0.7732195,265.94,8017.2954,84.62162,41.16325,9926.898,52.361565,31.985268
